pkgName,className,mdName,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT
net.objecthunter.exp4j,Expression,Expression,1,0,4,31,18,969.51,0.04,3,0,1,5,0,2,0,7.50,0,0,0,0,0,129.27,15,5,16,0,4,0,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,checkVariableName,2,0,3,35,24,1086.28,0.05,3,3,0,5,0,1,1,6.77,0,0,0,0,1,160.47,16,4,19,1,7,0,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,createDefaultVariables,1,0,7,64,28,3692.05,0.10,5,2,0,8,0,0,2,12.00,1,0,0,0,0,307.67,32,8,32,0,6,0,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,evaluate,13,3,41,367,79,63660.79,0.77,9,17,0,44,3,0,1,27.52,13,0,0,4,12,2313.49,152,56,215,3,83,2,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,evaluateAsync,1,0,2,36,22,1123.78,0.05,4,2,0,8,0,1,1,7.00,0,0,0,0,0,160.54,14,1,22,0,2,0,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,getVariableNames,3,0,8,55,28,3203.36,0.09,5,4,0,8,0,0,1,12.12,1,0,0,1,1,264.40,21,6,34,1,7,1,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,setVariable,1,0,4,33,19,695.07,0.05,3,2,1,5,0,2,1,4.96,0,0,0,0,0,140.18,17,4,16,0,3,0,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,setVariables,2,0,7,43,23,1496.26,0.06,5,3,1,6,0,1,1,7.69,0,0,0,0,1,194.51,20,3,23,1,4,1,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,validate,1,0,2,10,8,100.00,0.01,1,0,1,3,0,0,1,3.33,0,0,0,0,0,30.00,4,0,6,0,1,0,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,Expression,validate,13,8,42,262,75,43246.69,0.54,10,13,0,48,3,1,1,26.50,6,0,0,3,11,1631.95,106,38,156,4,45,2,12,0.03,3.33,133,1.94,123082.09,15,3,20,12,12,150.29,16,150,38.00,2,1,100.29,0.00,0.00,0.36,4,12.00,13,5815.86,0,8,10,java.lang.Object,0.00,0,0,40,0,0,4,0,7,1047,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
