,numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,fullclass,fullmethod,mscore
1118,37673.701931922726,11.975160993560257,5.973321067157314,238.13615455381785,4.609935602575897,12.806807727690892,14.0754369825207,106.05979760809568,33.09935602575897,21744.771941122388,0.1923275068997243,3.017479300827967,3.4250229990800367,0.9632014719411224,18.686292548298066,2.724011039558418,1.8353265869365225,1.7414903403863846,19.39675252989881,2.203311867525299,0.5676172953081877,0.125114995400184,0.2778288868445262,4.195032198712052,576.2665409383613,47.17571297148114,20.60533578656854,58.88408463661454,1.5768169273229071,19.742410303587857,0.6228150873965042,45.804047838086476,0.13530818767249259,2.268362465501375,286.74241030358786,3.8579392824287084,229365.2204231824,53.82980680772769,8.025758969641215,13.149034038638455,46.73597056117755,7.584176632934683,97.05109475620883,695.3873045078196,419.06623735050596,18.356945722171112,4.120515179392824,1.4158233670653173,114.73389144434135,0.07957681692732291,0.18452621895124185,0.14679852805887864,14.297148114075437,413.45446182152716,8.372585096596136,11574.295878564852,0.4406623735050598,27.477460901563937,3.783808647654094,0.04158233670653175,0.9319227230910764,0.41582336706531736,106.31278748850046,0.10303587856485741,0.9319227230910764,18.32658693652254,0.17203311867525298,74.83256669733211,2352.871205151794,1.03311867525299,24.91536338546458,2045.0165593376264,1.920634774608991,24.290708371665616,1283152.8031646558,15142.511499540018,72865.50925483035,97.41976080956826,4978.823367065317,2972.42502299908,10.296228150873965,669.0883164673413,593.5068997240111,0.4093284268629303,0.5228426862925504,4.655013799448022,335.0984360625575,115.1142594296249,0.0678288868445263,16.19779208831647,2.657773689052438,1.0,0.8333333333333334,0.898989898989899,0.8055555555555556,0.920883164673413
1119,47283.60257589696,11.816007359705612,5.931002759889604,238.25942962281508,4.461821527138914,12.859245630174794,13.600735970561178,102.76448942042319,32.78288868445262,20012.312042318335,0.18518859245630173,2.9503219871205153,3.356025758969641,0.9760809567617296,18.120515179392825,2.5952161913523457,1.8040478380864766,1.7405703771849126,18.821241950322012,2.1499540018399266,0.5666973321067157,0.11683532658693652,0.29622815087396503,4.009199632014719,555.0480128794843,45.68261269549218,19.800367985280587,57.081876724931,1.5584176632934683,18.939282428702853,0.5961361545538179,46.25390984360626,0.12743330266789304,2.257212511499531,288.41766329346825,3.8796044158233722,229377.24712971403,54.306347746090154,8.0524379024839,13.296228150873965,47.192272309107636,7.56853725850966,97.10228150873878,702.0045998160074,421.63109475620973,18.29346826126955,4.133394664213432,1.4158233670653173,114.99890524378947,0.09429622815087396,0.18493100275988944,0.14206071757129787,14.475620975160993,421.41766329346825,8.333946642134315,11639.285574976982,0.4563017479300828,27.467341306347745,3.7663293468261267,0.03817847286108559,0.9383624655013799,0.41582336706531736,107.10027598896045,0.11591536338546458,0.9383624655013799,18.78656853725851,0.17111315547378106,75.21711131554738,2367.674333026679,1.0395584176632935,24.767249310027598,2028.0846366145354,1.9161729530818539,24.066347746090642,1270017.184379008,15006.309107635694,72192.4428058883,96.73122355105859,4929.462741490341,2948.3192272309107,10.272309107635694,663.3965041398344,589.2769089236431,0.41415823367065785,0.5169181232750709,4.6034958601655935,332.73505059797606,115.25191352346118,0.06892364305427792,16.09475620975161,2.6660533578656853,1.0,1.0,0.9090909090909091,0.7585470085470085,0.9112235510579577
1120,41774.342226310946,12.732290708371664,6.025758969641214,224.73873045078196,4.4673413063477465,12.465501379944802,13.794848206071757,104.13339466421343,32.6163753449862,21048.39197792088,0.18796688132474706,3.044158233670653,3.2603495860165594,0.9567617295308187,18.29346826126955,2.670653173873045,1.7948482060717572,1.7479300827966882,18.99907083716652,2.1665133394664213,0.5676172953081877,0.1545538178472861,0.32842686292548295,4.02391904323827,563.705602575896,46.37442502299908,20.140754369825206,57.75896964121435,1.546458141674333,19.27414903403864,0.6136154553817847,46.584176632934685,0.13126034958601632,2.217359705611764,285.36614535418585,3.8555841766329393,221204.96712971467,54.57957681692732,7.99540018399264,13.41766329346826,47.500459981600734,7.667893284268629,96.5965041398337,701.4572217111315,418.3716651333947,18.26494940202392,4.142594296228151,1.40754369825207,115.32321987120457,0.11085556577736891,0.18200551977920865,0.1391812327506905,14.236430542778288,429.42042318307267,8.049678012879484,11567.11060717569,0.4563017479300828,27.542778288868444,3.8518859245630175,0.03725850965961364,0.9162833486660533,0.40754369825206993,106.07727690892364,0.140754369825207,0.9162833486660533,19.041398344066238,0.18399264029438822,75.13155473781049,2358.577736890524,1.0340386384544618,24.88592456301748,2025.705611775529,1.915574977000896,24.023100275989464,1265715.211011942,14984.0,72062.50833486716,96.83712051517992,4932.839006439743,2943.163753449862,10.262189512419504,662.7672493100276,588.3735050597976,0.412686292548303,0.5184176632934705,4.604415823367066,332.5703771849126,115.27438822447309,0.06889604415823367,16.035878564857406,2.656853725850966,1.0,0.9166666666666666,0.8888888888888888,0.782051282051282,0.9250229990800368
1121,59786.67893284269,11.84360625574977,5.537258509659614,225.6531738730451,4.626494940202392,12.891444342226311,14.122355105795767,106.22079116835327,33.00551977920883,22411.57039558421,0.1921343146274149,3.0404783808647653,3.3643054277828885,0.9254829806807727,18.679852805887766,2.7387304507819685,1.8482060717571298,1.7138914443422264,19.57235510579577,2.2217111315547378,0.578656853725851,0.13155473781048757,0.29254829806807725,4.172953081876725,575.747617295307,47.40754369825207,20.82428702851886,58.813247470101196,1.578656853725851,19.72585096596136,0.6329346826126955,45.83992640294388,0.13917203311867513,2.2573045078196787,283.5768169273229,3.8175804967801366,222830.80876724896,53.88500459981601,8.045078196872126,13.321067157313708,46.75436982520699,7.595216191352346,97.10387304507734,694.869365225391,414.984360625575,18.1278748850046,4.063477460901564,1.4001839926402944,114.84761729530736,0.07911683532658693,0.1793928242870284,0.14797608095676268,14.124195032198712,424.0248390064397,8.205151793928243,11453.120892364288,0.45538178472861085,27.195032198712052,3.856485740570377,0.03340386384544617,0.9144434222631095,0.40018399264029436,105.37810487580496,0.11039558417663294,0.9144434222631095,18.644894204231832,0.17571297148114076,74.55657773689052,2331.3615455381787,1.0367985280588776,24.825206991720332,2029.44986200552,1.9193284268629016,24.0748758049683,1272234.7620423022,15009.527138914444,72218.06942042381,96.51404783808705,4923.983440662373,2949.132474701012,10.287028518859247,663.5197792088317,589.148114075437,0.4138546458141721,0.5159521619135252,4.586936522539099,332.5252989880405,115.16602575897167,0.07019319227230911,16.096596136154552,2.6504139834406626,1.0,0.8333333333333334,0.898989898989899,0.7756410256410257,0.9116835326586936
1122,39548.93468261269,11.490340386384545,6.40294388224471,245.38270469181234,4.819687212511499,13.057957681692733,14.60257589696412,110.27506899724011,33.36430542778289,23692.931103955907,0.2002851885924565,3.0045998160073597,3.4250229990800367,0.9770009199632015,19.44066237350506,2.927322907083717,1.8390064397424104,1.7516099356025758,20.032217111315596,2.2796688132474703,0.5593376264949402,0.13799448022079117,0.29898804047838085,4.4204231830726775,600.3440754369815,49.04783808647654,21.690892364305427,61.227230910763566,1.6182152713891444,20.57957681692732,0.6228150873965042,46.841766329346825,0.14654093836246554,2.271113155473774,294.6467341306348,3.9674793008279776,235384.39831646672,54.908003679852804,8.066237350505979,13.366145354185832,47.813247470101196,7.758049678012879,97.61898804047736,710.7092916283349,430.63477460901566,18.34498620055198,4.187672493100276,1.4020239190432382,114.83540018399175,0.062557497700092,0.1789972401103954,0.14001839926403015,14.949402023919044,413.44710211591536,8.448942042318308,11902.700800367978,0.43698252069917204,27.897884084636615,3.9043238270469183,0.03405703771849127,0.9714811407543699,0.40202391904323825,109.42134314627415,0.08739650413983441,0.9714811407543699,18.943882244710213,0.17111315547378106,76.40202391904324,2418.371665133395,1.0367985280588776,24.964121435142594,2064.970561177553,1.9263293468261011,24.55774609015689,1299497.1425758784,15303.609935602575,73666.57393744314,97.28841766329411,5026.184912603496,3001.602575896964,10.349586016559337,675.9549218031278,599.3486660533579,0.40788408463661924,0.5243238270469198,4.6936522539098435,338.04783808647653,115.0604967801309,0.06779208831646746,16.33578656853726,2.6642134314627417,1.0,0.9166666666666666,0.898989898989899,0.7564102564102564,0.922263109475621
1123,56728.57681692732,10.821527138914444,6.586936522539099,235.11407543698252,4.613615455381785,12.955841766329346,14.09935602575897,105.9015639374425,32.92272309107636,22233.120542778317,0.19150873965041412,3.014719411223551,3.3330266789328427,0.9383624655013799,18.57497700091996,2.6320147194112233,1.859245630174793,1.749770009199632,19.484305427782918,2.1619135234590616,0.5501379944802208,0.13707451701931922,0.2778288868445262,4.1711131554737815,573.9182244710198,47.31922723091076,20.82428702851886,58.58233670653174,1.5823367065317386,19.59705611775529,0.6264949402023919,45.48022079116836,0.1323091076356944,2.254103035878559,281.33302667893287,3.766632934682623,224303.0871297141,53.36614535418583,7.885924563017479,12.965961361545538,46.358785648574056,7.553817847286108,97.70283348665961,693.6228150873965,410.79576816927323,17.689972401103955,4.169273229070837,1.4112235510579576,115.16321067157223,0.10119595216191353,0.1849218031278747,0.15127874885004708,13.923643054277829,426.6467341306348,8.32750689972401,11300.08698252069,0.45906163753449863,27.267709291628336,3.7267709291628335,0.03641214351425943,0.8785648574057038,0.41122355105795766,104.77736890524379,0.12143514259429623,0.8785648574057038,18.212511499540017,0.18675252989880406,73.67801287948483,2301.960441582337,1.0367985280588776,24.79484820607176,2014.736890524379,1.9147930082796454,23.880965961362048,1259338.562493084,14894.321987120515,71636.25240110446,96.66517939282494,4895.414903403864,2927.083716651334,10.250229990800367,658.7313707451702,585.0340386384545,0.4146366145354231,0.5152805887764509,4.566697332106716,330.5317387304508,115.2422447102137,0.07008279668813248,15.978840846366145,2.6485740570377185,1.0,0.75,0.8686868686868687,0.7735042735042735,0.9130634774609016
1124,54703.26494940202,12.068077276908923,6.172953081876725,241.09751609935603,4.49770009199632,12.75804967801288,13.564857405703771,102.57681692732291,32.24655013799448,21574.2320883165,0.18480220791168372,2.93836246550138,3.223551057957682,0.9300827966881324,18.054277828886846,2.735050597976081,1.7764489420423184,1.7470101195952161,19.15044158233673,2.09935602575897,0.562097516099356,0.12143514259429623,0.281508739650414,4.020239190432383,553.6924471021146,45.676172953081874,20.064397424103035,56.90064397424103,1.5400183992640295,19.011959521619136,0.5878564857405704,48.57129714811408,0.1354369825206991,2.246126954921795,300.1278748850046,4.039981600735971,234867.06094756187,56.83808647654094,8.266789328426864,13.92916283348666,49.51057957681693,7.946642134314628,97.5079668813238,737.6384544618215,439.5639374425023,18.112235510579577,4.241950321987121,1.4158233670653173,115.17934682612605,0.06209751609935603,0.1828150873965039,0.14081876724931064,15.068077276908923,446.29622815087396,8.306347746090156,12120.706264949395,0.4563017479300828,28.81048758049678,4.02851885924563,0.037966881324747036,0.9392824287028518,0.41582336706531736,111.9346826126955,0.09659613615455381,0.9392824287028518,19.760809567617294,0.16007359705611776,78.74517019319227,2468.074517019319,1.0349586016559338,24.93284268629255,2040.3578656853726,1.9183164673412842,24.209742410304134,1276999.5179944632,15096.88040478381,72622.48859245688,96.530938362466,4963.348666053358,2965.7911683532657,10.288868445262189,667.6237350505979,592.72493100276,0.4125022999080084,0.5190156393744266,4.62557497700092,334.8666053357866,115.26697332106926,0.06848206071757128,16.152713891444343,2.6660533578656853,1.0,0.9166666666666666,0.8888888888888888,0.7863247863247863,0.9254829806807727
