numCovered,numTestsCover,mutantAssert,classAssert,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT,operator,methodReturn,isKilled,killTest,rowNum,fullclass,fullmethod,key
1370,90,0,0,3,1,12,65,34,3393.87,0.11,2,3,1,15,1,0,2,10.26,1,1,0,0,2,330.69,26,9,39,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,NegateConditionalsMutator,Z,yes,org.msgpack.testbufferpackunpack.testboolean,394,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readboolean,org.msgpack.unpacker.messagepackunpacker.readboolean:394
625,22,0,0,3,1,12,65,34,3393.87,0.11,2,3,1,15,1,0,2,10.26,1,1,0,0,2,330.69,26,9,39,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,NegateConditionalsMutator,Z,yes,org.msgpack.testbufferpackunpack.testboolean,398,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readboolean,org.msgpack.unpacker.messagepackunpacker.readboolean:398
745,90,0,0,3,1,12,65,34,3393.87,0.11,2,3,1,15,1,0,2,10.26,1,1,0,0,2,330.69,26,9,39,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,Z,yes,org.msgpack.testbufferpackunpack.testboolean,397,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readboolean,org.msgpack.unpacker.messagepackunpacker.readboolean:397
625,22,0,0,3,1,12,65,34,3393.87,0.11,2,3,1,15,1,0,2,10.26,1,1,0,0,2,330.69,26,9,39,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,Z,yes,org.msgpack.testbufferpackunpack.testboolean,401,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readboolean,org.msgpack.unpacker.messagepackunpacker.readboolean:401
745,90,0,0,3,1,12,65,34,3393.87,0.11,2,3,1,15,1,0,2,10.26,1,1,0,0,2,330.69,26,9,39,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,Z,yes,org.msgpack.template.testbooleanarraytemplate.testpackunpack00,395,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readboolean,org.msgpack.unpacker.messagepackunpacker.readboolean:395
625,22,0,0,3,1,12,65,34,3393.87,0.11,2,3,1,15,1,0,2,10.26,1,1,0,0,2,330.69,26,9,39,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,Z,yes,org.msgpack.template.testbooleanarraytemplate.testpackunpack00,399,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readboolean,org.msgpack.unpacker.messagepackunpacker.readboolean:399
4110,72,2,0,2,1,8,58,30,3557.5,0.09,3,3,1,10,2,0,2,12.5,1,1,0,3,1,284.6,25,10,33,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ConditionalsBoundaryMutator,B,yes,org.msgpack.testbufferpackunpack.testbyte,413,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readbyte,org.msgpack.unpacker.messagepackunpacker.readbyte:413
4110,72,2,0,2,1,8,58,30,3557.5,0.09,3,3,1,10,2,0,2,12.5,1,1,0,3,1,284.6,25,10,33,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,NegateConditionalsMutator,B,yes,org.msgpack.template.builder.testreflectionpackunpack.testprimitivetypefieldsclass,413,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readbyte,org.msgpack.unpacker.messagepackunpacker.readbyte:413
4110,72,2,0,2,1,8,58,30,3557.5,0.09,3,3,1,10,2,0,2,12.5,1,1,0,3,1,284.6,25,10,33,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,B,yes,org.msgpack.template.builder.testreflectionpackunpack.testprimitivetypefieldsclass,417,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readbyte,org.msgpack.unpacker.messagepackunpacker.readbyte:417
4110,72,2,0,2,1,8,58,30,3557.5,0.09,3,3,1,10,2,0,2,12.5,1,1,0,3,1,284.6,25,10,33,1,11,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,B,yes,org.msgpack.template.builder.testreflectionpackunpack.testprimitivetypefieldsclass,416,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readbyte,org.msgpack.unpacker.messagepackunpacker.readbyte:416
259,86,2,0,1,0,3,19,16,390.86,0.03,1,0,1,4,0,0,2,5.14,0,1,0,0,0,76.0,8,3,11,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,[B,yes,org.msgpack.unpacker.testmalformedencoding.testunpackerunpackstring,466,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readbytearray,org.msgpack.unpacker.messagepackunpacker.readbytearray:466
267,86,2,0,1,0,3,19,16,390.86,0.03,1,0,1,4,0,0,2,5.14,0,1,0,0,0,76.0,8,3,11,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,[B,yes,org.msgpack.unpacker.testmalformedencoding.testunpackerunpackstring,465,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readbytearray,org.msgpack.unpacker.messagepackunpacker.readbytearray:465
9594,91,2,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,D,yes,org.msgpack.template.testdoublearraytemplate.testpackunpack00,460,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readdouble,org.msgpack.unpacker.messagepackunpacker.readdouble:460
9594,91,2,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,D,yes,org.msgpack.template.testdoublearraytemplate.testpackunpack00,459,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readdouble,org.msgpack.unpacker.messagepackunpacker.readdouble:459
8585,89,2,0,1,0,3,20,15,401.85,0.03,1,0,1,4,0,0,2,5.14,0,1,0,1,0,78.14,9,3,11,0,2,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,F,yes,org.msgpack.template.testfloatarraytemplate.testpackunpack00,454,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readfloat,org.msgpack.unpacker.messagepackunpacker.readfloat:454
8585,89,2,0,1,0,3,20,15,401.85,0.03,1,0,1,4,0,0,2,5.14,0,1,0,1,0,78.14,9,3,11,0,2,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,F,yes,org.msgpack.template.testfloatarraytemplate.testpackunpack00,453,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readfloat,org.msgpack.unpacker.messagepackunpacker.readfloat:453
239046,407,0,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,I,yes,org.msgpack.template.testcharactertemplate.testpackunpack,436,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readint,org.msgpack.unpacker.messagepackunpacker.readint:436
239046,407,0,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,I,yes,org.msgpack.template.testcharactertemplate.testpackunpack,435,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readint,org.msgpack.unpacker.messagepackunpacker.readint:435
9469,94,2,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,J,yes,org.msgpack.template.testdatetemplate.testbufferpackunpack,442,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readlong,org.msgpack.unpacker.messagepackunpacker.readlong:442
9469,94,2,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,J,yes,org.msgpack.template.testdatetemplate.testbufferpackunpack,441,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readlong,org.msgpack.unpacker.messagepackunpacker.readlong:441
198,49,0,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,ReturnValsMutator,I,yes,org.msgpack.template.testmaptemplate.testpackunpack,504,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readmapbegin,org.msgpack.unpacker.messagepackunpacker.readmapbegin:504
206,49,0,0,1,0,3,18,15,321.48,0.02,1,0,1,4,0,0,2,4.57,0,1,0,0,0,70.32,8,3,10,0,1,0,32,0.05,2.59,380,4.04,365597.43,48,16,10,43,21,99.98,17,508,21.0,2,2,99.98,0.5,0.33,0.11,8,428.0,12,12118.74,1,19,20,org.msgpack.unpacker.AbstractUnpacker,0.12,11,1,83,1,11,13,0,45,2209,1,20,1131,1.53,28.16,1154457.4,15878,84481.57,169.49,358,1649,7,371,420,0.55,0.25,5,243,119.49,0.2,13,6,VoidMethodCallMutator,I,yes,org.msgpack.template.testmaptemplate.testpackunpack,503,org.msgpack.unpacker.messagepackunpacker,org.msgpack.unpacker.messagepackunpacker.readmapbegin,org.msgpack.unpacker.messagepackunpacker.readmapbegin:503
