System,Package,Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"","org.joda.time.field","TestPreciseDurationDateTimeField$MockPreciseDurationDateTimeField_0",1,0.00,1.00,3,0.01,60.00,1,0,9,1,0,139.20,0,5,0.00,0,1,139.20,0.00,0.00,0.00,0,1.00,1,24.00,0,1,0,java.lang.Object,0.00,0,0,1,0,0,0,0,0,8,1
"","org.joda.time.field","TestPreciseDurationDateTimeField$MockPreciseDurationDateTimeField_1",1,0.00,1.00,3,0.01,60.00,1,0,9,1,0,139.20,0,5,0.00,0,1,139.20,0.00,0.00,0.00,0,1.00,1,24.00,0,1,0,java.lang.Object,0.00,0,0,1,0,0,0,0,0,8,1
"","org.joda.time.field","TestPreciseDurationDateTimeField$MockPreciseDurationDateTimeField_2",1,0.00,1.00,3,0.01,85.59,1,0,9,1,0,137.99,0,5,0.00,0,1,137.99,0.00,0.00,0.00,0,1.00,1,28.53,0,1,0,java.lang.Object,0.00,0,0,1,0,0,0,0,0,9,1
"","org.joda.time.field","TestPreciseDurationDateTimeField$MockPreciseDurationDateTimeField_3",5,0.00,1.00,11,0.08,776.59,5,0,9,5,4,142.52,1,18,3.00,0,4,142.52,0.00,0.75,0.00,0,5.00,1,243.87,0,3,4,org.joda.time.field.PreciseDurationDateTimeField,0.10,0,3,5,0,0,2,0,1,72,1
"","org.joda.time.field","TestPreciseDurationDateTimeField$MockStandardBaseDateTimeField",3,0.00,1.00,7,0.04,334.78,3,0,9,3,2,143.65,0,11,5.00,0,2,143.65,0.00,0.50,0.00,0,3.00,1,122.96,0,2,2,org.joda.time.field.MockPreciseDurationDateTimeField,0.00,0,1,3,0,0,1,0,0,39,1
"","org.joda.time.field","TestPreciseDurationDateTimeField$MockZeroDurationField",9,0.00,1.00,19,0.11,1003.24,9,0,9,9,2,143.65,1,29,4.00,0,3,143.65,0.00,0.67,0.00,0,9.00,1,328.48,0,8,2,org.joda.time.field.BaseDurationField,0.59,0,2,9,0,0,1,0,2,102,1
"","org.joda.time.field","TestPreciseDurationField",28,0.11,1.39,154,1.90,48449.52,32,4,9,28,5,119.35,18,194,16.00,1,2,119.35,0.00,0.50,0.36,1,0.00,3,5705.50,2,1,4,junit.framework.TestCase,0.00,0,1,39,0,0,27,0,14,1277,1
"","org.joda.time.convert","TestReadableDurationConverter",11,0.10,1.00,53,0.72,16253.04,17,6,14,13,11,123.58,10,71,11.00,1,2,123.58,0.00,0.50,0.08,1,25.00,1,2155.61,3,1,10,junit.framework.TestCase,0.00,2,1,11,0,2,10,0,6,462,1
"","org.joda.time.convert","TestReadableInstantConverter",12,0.06,1.00,60,1.01,31926.58,18,6,15,14,12,117.96,11,71,22.00,1,2,117.96,0.00,0.50,0.11,1,38.00,1,3032.04,1,1,11,junit.framework.TestCase,0.00,2,1,12,0,2,11,0,9,661,1
"","org.joda.time.convert","TestReadableInstantConverter$MutableDateTime",1,0.00,1.00,3,0.01,60.00,1,0,15,1,1,139.20,0,5,1.00,0,1,139.20,0.00,0.00,0.00,0,1.00,1,24.00,0,1,1,java.lang.Object,0.00,0,0,1,0,0,0,0,1,8,1
"","org.joda.time.convert","TestReadableInstantConverter$MutableDateTime_0",1,0.00,1.00,3,0.01,60.00,1,0,15,1,1,139.20,0,5,1.00,0,1,139.20,0.00,0.00,0.00,0,1.00,1,24.00,0,1,1,java.lang.Object,0.00,0,0,1,0,0,0,0,1,8,1
"","org.joda.time.convert","TestReadableIntervalConverter",16,0.16,1.00,93,1.37,32028.01,22,6,17,18,14,118.93,11,109,16.00,1,2,118.93,0.00,0.50,0.02,1,30.00,1,4100.34,1,1,13,junit.framework.TestCase,0.00,2,1,16,0,2,15,0,9,858,1
"","org.joda.time.convert","TestReadableIntervalConverter$MutableInterval",1,0.00,1.00,3,0.01,60.00,1,0,17,1,1,139.20,0,5,1.00,0,1,139.20,0.00,0.00,0.00,0,1.00,1,24.00,0,1,1,java.lang.Object,0.00,0,0,1,0,0,0,0,1,8,1
"","org.joda.time.convert","TestReadableIntervalConverter$MutableInterval_0",1,0.00,1.00,3,0.01,60.00,1,0,17,1,1,139.20,0,5,1.00,0,1,139.20,0.00,0.00,0.00,0,1.00,1,24.00,0,1,1,java.lang.Object,0.00,0,0,1,0,0,0,0,1,8,1
"","org.joda.time.convert","TestReadablePartialConverter",10,0.00,1.20,53,0.78,19298.17,17,7,16,12,12,169.01,10,66,13.00,1,2,119.01,0.00,0.50,0.14,1,22.00,3,2346.39,2,1,11,junit.framework.TestCase,0.00,2,1,12,0,2,9,0,6,502,1
"","org.joda.time.convert","TestReadablePartialConverter$MockTOD",2,0.00,1.50,14,0.09,1498.51,2,0,16,2,3,116.75,0,18,4.00,0,3,116.75,0.00,0.67,0.00,0,2.00,2,270.42,0,2,3,org.joda.time.base.BasePartial,0.00,0,2,3,0,0,0,0,0,64,1
"","org.joda.time.convert","TestReadablePeriodConverter",9,0.15,1.00,46,0.64,15583.85,15,6,13,11,10,169.42,9,58,16.00,1,2,119.42,0.00,0.50,0.04,1,16.00,1,1924.89,1,1,9,junit.framework.TestCase,0.00,2,1,9,0,2,8,0,5,419,1
"","org.joda.time.field","TestScaledDurationField",29,0.11,1.48,166,2.15,61324.72,33,4,9,29,7,118.65,18,210,19.00,1,2,118.65,0.00,0.50,0.35,1,0.00,5,6461.45,2,1,6,junit.framework.TestCase,0.00,0,1,43,0,0,28,0,14,1433,1
"","org.joda.time","TestSeconds",32,0.97,1.31,212,3.12,91357.65,33,1,6,33,19,114.70,27,266,25.00,1,2,114.70,0.00,0.50,0.06,1,88.00,3,9366.49,3,1,18,junit.framework.TestCase,0.00,1,1,42,0,1,31,0,21,2030,1
"","org.joda.time","TestSerialization",34,0.04,1.06,162,2.01,50444.84,45,11,18,35,25,91.33,207,220,15.00,1,2,123.56,0.00,0.50,0.05,3,302.00,2,6025.49,2,1,24,junit.framework.TestCase,0.00,1,1,36,0,1,33,0,192,1321,1
"","org.joda.time","TestStringConvert",25,0.92,1.00,110,1.49,26620.60,26,1,4,26,21,124.70,15,137,20.00,1,2,124.70,0.00,0.50,0.12,1,82.00,1,4464.30,1,1,20,junit.framework.TestCase,0.00,1,1,25,0,1,24,0,11,998,1
"","org.joda.time.convert","TestStringConverter",47,0.02,1.43,383,5.98,187377.81,61,14,17,50,12,108.88,15,452,23.00,1,2,108.88,0.00,0.50,0.05,1,657.00,10,17948.28,2,1,11,junit.framework.TestCase,0.00,3,1,67,0,3,46,0,11,3610,1
"","org.joda.time.format","TestTextFields",10,0.09,2.00,96,1.13,28998.06,16,6,8,11,8,107.98,6,102,25.00,1,2,107.98,0.00,0.50,0.25,1,2.00,3,3403.22,1,1,7,junit.framework.TestCase,0.00,1,1,20,0,1,9,0,2,656,1
"","org.joda.time","TestTimeOfDay_Basics",58,0.03,1.36,474,6.95,225657.99,72,14,14,61,22,129.59,182,568,22.00,1,2,108.97,0.00,0.50,0.04,2,742.00,3,20860.74,5,1,21,junit.framework.TestCase,0.00,3,1,79,0,3,57,0,182,4330,2
"","org.joda.time","TestTimeOfDay_Basics$MockInstant",3,0.00,1.00,7,0.09,1559.39,3,0,14,3,4,138.38,0,16,19.00,0,2,138.38,0.00,0.50,0.00,0,3.00,1,263.75,0,3,4,org.joda.time.MockPartial,0.40,0,1,3,0,0,0,0,0,71,0
"","org.joda.time","TestTimeOfDay_Constructors",51,0.03,1.84,455,5.87,190788.92,59,8,9,53,11,148.92,112,563,23.00,1,2,109.04,0.00,0.50,0.15,1,115.00,9,17598.33,2,1,10,junit.framework.TestCase,0.00,2,1,94,0,2,50,0,44,3613,2
"","org.joda.time","TestTimeOfDay_Properties",40,0.14,1.60,493,8.31,499533.01,45,5,3,41,8,98.38,10,571,26.00,1,2,98.38,0.00,0.50,0.06,2,240.00,3,24928.88,3,1,7,junit.framework.TestCase,0.00,1,1,64,0,1,39,0,6,4951,2
"","org.joda.time.tz","TestUTCProvider",6,1.00,1.00,25,0.30,5414.89,7,1,6,6,4,175.27,8,32,9.00,1,2,125.27,0.00,0.50,0.00,1,6.00,1,894.70,2,1,3,junit.framework.TestCase,0.00,0,1,6,0,0,5,0,4,206,1
"","org.joda.time.field","TestUnsupportedDateTimeField",10,0.28,5.70,236,2.76,265556.46,14,4,8,10,9,118.35,205,365,30.00,1,2,84.97,0.00,0.50,0.50,0,0.00,39,8267.98,7,1,8,junit.framework.TestCase,0.00,0,1,57,0,0,9,0,126,1506,1
"","org.joda.time","TestWeeks",32,0.97,1.44,226,3.29,93231.21,33,1,6,33,18,112.11,31,288,24.00,1,2,112.11,0.00,0.50,0.06,1,88.00,3,9883.81,3,1,17,junit.framework.TestCase,0.00,1,1,46,0,1,31,0,25,2114,1
"","org.joda.time","TestYearMonthDay_Basics",68,0.00,1.35,525,7.37,215446.32,80,12,14,71,25,111.84,40,627,20.00,1,2,111.84,0.00,0.50,0.08,2,624.00,4,22098.81,5,1,24,junit.framework.TestCase,0.00,3,1,92,0,3,67,0,47,4597,2
"","org.joda.time","TestYearMonthDay_Basics$MockInstant",3,0.00,1.00,7,0.06,842.11,3,0,14,3,3,140.49,0,15,2.00,0,2,140.49,0.00,0.50,0.00,0,1.00,1,177.15,0,3,3,org.joda.time.MockPartial,0.40,0,1,3,0,0,0,0,0,51,0
"","org.joda.time","TestYearMonthDay_Constructors",35,0.03,1.57,256,3.15,80515.43,44,9,7,38,9,162.90,69,323,21.00,1,2,112.90,0.00,0.50,0.14,1,173.00,8,9435.35,2,1,8,junit.framework.TestCase,0.00,3,1,55,0,3,34,0,33,1980,2
"","org.joda.time","TestYearMonthDay_Properties",33,0.09,1.36,381,6.30,295412.76,40,7,6,35,12,100.96,10,434,28.00,1,2,100.96,0.00,0.50,0.06,2,230.00,3,18889.02,3,1,11,junit.framework.TestCase,0.00,2,1,45,0,2,32,0,6,3865,2
