System,Package,Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"","org.joda.time.convert","AbstractConverter",9,0.00,1.00,20,0.20,2550.17,9,0,7,9,18,91.98,95,31,12.00,10,1,140.46,10.00,0.00,0.00,2,9.00,1,594.57,1,8,8,java.lang.Object,0.00,0,0,9,10,0,1,1,16,156,2
"","org.joda.time.base","AbstractDateTime",25,0.00,1.16,65,0.65,8578.72,25,0,8,25,7,97.48,195,98,13.00,2,2,139.77,2.00,0.17,0.00,1,25.00,2,1936.45,5,24,5,org.joda.time.base.AbstractInstant,0.04,0,1,29,4,0,1,1,31,509,2
"","org.joda.time.base","AbstractDuration",10,0.00,1.90,50,0.51,18304.37,10,0,6,10,8,74.96,113,72,7.00,3,1,119.09,4.00,0.00,0.00,1,10.00,3,1539.77,1,9,5,java.lang.Object,0.00,0,0,19,4,0,1,1,17,340,2
"","org.joda.time.base","AbstractInstant",29,0.00,1.31,87,0.79,14873.00,29,0,15,29,24,83.69,243,132,14.00,12,1,131.80,10.00,0.00,0.00,5,29.00,4,2384.32,2,28,13,java.lang.Object,0.00,0,0,38,10,0,1,1,46,614,2
"","org.joda.time.base","AbstractInterval",27,0.00,1.41,103,1.04,26371.22,27,0,12,27,19,85.45,302,149,17.00,7,1,129.58,6.00,0.00,0.00,7,27.00,3,3123.74,3,25,12,java.lang.Object,0.00,0,0,38,6,0,2,1,37,756,2
"","org.joda.time.base","AbstractPartial",21,0.00,2.24,128,1.18,49235.10,21,0,10,21,15,66.77,216,149,17.00,5,1,115.25,14.00,0.00,0.00,6,21.00,8,3540.50,3,20,10,java.lang.Object,0.00,0,0,47,14,0,1,1,31,794,2
"","org.joda.time.field","AbstractPartialFieldProperty",24,0.00,1.33,71,0.63,16016.21,24,0,6,24,20,89.36,206,104,15.00,14,1,137.46,7.00,0.00,0.00,7,24.00,4,1884.68,0,23,6,java.lang.Object,0.00,0,0,32,7,0,1,0,34,478,2
"","org.joda.time.base","AbstractPeriod",14,0.00,1.71,66,0.55,19206.71,14,0,7,14,7,73.71,126,80,11.00,1,1,123.71,5.00,0.00,0.00,4,14.00,6,1648.69,2,13,6,java.lang.Object,0.00,0,0,24,5,0,1,1,21,393,2
"","org.joda.time.field","AbstractReadableInstantFieldProperty",32,1.00,1.31,93,0.84,18785.16,33,1,10,32,18,89.80,271,139,17.00,9,1,137.91,6.00,0.00,0.00,8,32.00,4,2528.04,0,31,9,java.lang.Object,0.00,0,0,42,6,0,1,1,42,649,2
"","org.joda.example.time","AgeCalculator",8,0.10,1.62,85,1.49,47200.57,20,12,28,8,6,103.89,7,115,24.00,1,2,103.89,0.00,0.50,0.17,5,16.00,4,4480.55,8,2,5,javax.swing.JFrame,0.00,0,1,13,0,0,6,0,1,817,1
"","org.joda.example.time","AgeCalculator$ActionListener",1,0.00,1.00,3,0.01,63.40,1,0,28,1,0,139.01,0,5,1.00,0,1,139.01,0.00,0.00,0.00,0,1.00,1,31.70,1,0,0,java.lang.Object,0.00,0,0,1,0,0,1,0,0,10,1
"","org.joda.example.time","AgeCalculator$ActionListener_0",1,0.00,1.00,5,0.05,474.18,1,0,28,1,2,123.85,0,7,8.00,0,1,123.85,0.00,0.00,0.00,0,0.00,1,138.30,1,0,2,java.lang.Object,0.00,0,0,1,0,0,1,0,0,32,1
"","org.joda.example.time","AgeCalculator$DocumentListener",4,0.00,1.00,10,0.06,445.23,4,0,28,4,0,143.65,0,15,3.00,0,1,143.65,0.00,0.00,0.00,1,6.00,1,169.33,1,0,0,java.lang.Object,0.00,0,0,4,0,0,4,0,0,50,1
"","org.joda.example.time","AgeCalculator$FieldGroup",3,0.67,2.00,48,0.41,12433.11,6,3,28,3,1,97.44,2,54,6.00,0,1,97.44,0.00,0.00,0.78,0,0.00,4,1235.09,0,1,1,java.lang.Object,0.00,0,0,6,0,0,2,0,2,236,1
"","org.joda.example.time","AgeCalculator$FieldSet",6,0.00,1.50,49,0.49,12054.67,8,2,28,6,0,111.21,0,54,7.00,0,1,111.21,0.00,0.00,0.50,2,0.00,2,1461.10,1,1,0,java.lang.Object,0.00,0,0,9,0,0,5,0,0,311,2
"","org.joda.example.time","AgeCalculator$ItemListener",1,0.00,1.00,3,0.01,63.40,1,0,28,1,0,139.01,0,5,1.00,0,1,139.01,0.00,0.00,0.00,0,1.00,1,31.70,1,0,0,java.lang.Object,0.00,0,0,1,0,0,1,0,0,10,1
"","org.joda.time.chrono","AssembledChronology",45,0.02,1.13,189,2.67,163942.29,84,39,6,45,13,120.47,41,268,100.00,8,3,120.47,5.00,0.11,0.05,2,1666.00,3,7997.64,36,41,5,org.joda.time.chrono.BaseChronology,0.81,0,2,51,15,0,4,0,8,1467,2
"","org.joda.time.chrono","AssembledChronology$Fields",4,0.30,9.75,114,1.26,56347.36,39,35,6,4,3,133.82,6,158,100.00,0,1,83.82,0.00,0.00,0.25,1,6.00,36,3781.88,0,2,3,java.lang.Object,0.00,0,0,39,0,0,2,0,2,690,3
"","org.joda.time.chrono","BaseChronology",50,1.00,1.36,178,2.07,90646.87,51,1,13,50,21,85.18,355,243,20.00,10,2,127.47,9.50,0.05,0.00,20,50.00,7,6209.62,0,48,12,org.joda.time.Chronology,0.85,0,1,68,19,0,2,1,83,1463,2
"","org.joda.time.base","BaseDateTime",18,0.06,1.06,57,0.60,7696.71,21,3,8,18,11,83.99,189,105,4.00,3,3,132.47,1.00,0.33,0.28,3,26.00,2,1811.79,1,4,8,org.joda.time.base.AbstractDateTime,0.00,0,2,19,3,0,14,1,25,443,2
"","org.joda.time.field","BaseDateTimeField",51,0.96,1.73,222,2.53,245484.41,52,1,6,51,13,81.86,613,304,13.00,7,2,119.42,20.00,0.02,0.06,15,186.00,12,7587.46,0,50,6,org.joda.time.DateTimeField,0.55,0,1,88,40,0,1,0,90,1660,2
"","org.joda.time.base","BaseDuration",15,0.32,1.07,42,0.36,5113.71,17,2,11,15,14,91.33,162,62,8.00,3,2,139.81,1.00,0.25,0.20,1,33.00,2,1070.03,0,10,11,org.joda.time.base.AbstractDuration,0.00,0,1,16,2,0,5,1,19,284,2
"","org.joda.time.field","BaseDurationField",12,0.41,1.25,36,0.28,4791.01,14,2,3,12,13,100.45,78,53,6.00,10,2,132.67,7.00,0.06,0.12,2,30.00,3,851.27,2,11,3,org.joda.time.DurationField,0.62,0,1,15,14,0,1,1,14,224,2
"","org.joda.time.base","BaseInterval",11,0.40,1.45,79,0.82,21399.27,15,4,13,11,14,63.49,107,101,3.00,2,2,113.49,1.00,0.25,0.61,0,0.00,3,2466.94,1,3,13,org.joda.time.base.AbstractInterval,0.00,0,1,16,2,0,8,1,14,526,2
"","org.joda.time.base","BaseLocal",2,1.00,1.00,5,0.02,124.27,3,1,0,2,5,145.18,33,9,0.00,4,2,145.65,1.50,0.20,0.00,0,2.00,1,62.13,0,1,1,org.joda.time.base.AbstractPartial,0.00,0,1,2,3,0,1,0,5,22,2
"","org.joda.time.base","BasePartial",16,0.02,1.12,64,0.64,9258.23,19,3,10,16,20,82.63,179,85,6.00,11,2,126.76,3.50,0.11,0.35,2,0.00,2,1920.35,2,5,9,org.joda.time.base.AbstractPartial,0.05,0,1,18,7,0,11,1,21,460,2
"","org.joda.time.base","BasePeriod",30,0.03,1.73,195,2.57,95674.31,34,4,16,31,22,64.26,290,253,19.00,6,2,114.26,2.00,0.17,0.23,9,18.00,7,7700.80,3,8,17,org.joda.time.base.AbstractPeriod,0.00,1,1,52,4,1,22,1,44,1585,2
"","org.joda.time.base","BasePeriod$AbstractPeriod",2,0.00,1.00,5,0.02,238.54,2,0,16,2,1,143.42,0,8,2.00,0,1,143.42,0.00,0.00,0.00,0,2.00,1,66.57,0,2,1,java.lang.Object,0.00,0,0,2,0,0,0,0,0,21,1
"","org.joda.time.base","BaseSingleFieldPeriod",18,0.27,2.00,95,1.09,44118.26,21,3,13,18,22,68.08,166,127,14.00,10,1,118.08,8.00,0.00,0.07,3,70.00,6,3266.58,1,16,12,java.lang.Object,0.00,0,0,36,8,0,2,1,27,689,2
"","org.joda.time.chrono","BasicChronology",51,0.02,1.57,282,3.34,123057.21,74,23,17,52,31,100.31,276,396,19.00,14,4,118.19,1.75,0.27,0.02,25,284.00,6,10023.03,2,49,26,org.joda.time.chrono.AssembledChronology,0.08,1,3,80,7,1,2,0,100,2056,1
"","org.joda.time.chrono","BasicChronology$HalfdayField",4,1.00,1.00,10,0.10,1088.97,5,1,17,4,3,140.60,0,16,5.00,0,5,140.60,0.00,0.80,0.00,1,6.00,1,309.44,0,3,3,org.joda.time.field.PreciseDateTimeField,0.00,0,4,4,0,0,1,0,0,83,2
"","org.joda.time.chrono","BasicChronology$YearInfo",1,0.00,1.00,6,0.02,155.89,3,2,17,1,0,124.71,0,8,0.00,0,1,124.71,0.00,0.00,1.00,0,0.00,1,74.35,0,0,0,java.lang.Object,0.00,0,0,1,0,0,1,0,0,23,2
"","org.joda.time.chrono","BasicDayOfMonthDateTimeField",11,0.05,1.55,47,0.44,14160.70,13,2,4,11,5,173.95,15,61,7.00,1,4,123.95,0.00,0.75,0.45,1,0.00,5,1308.24,0,10,5,org.joda.time.field.PreciseDurationDateTimeField,0.23,0,3,17,0,0,1,0,5,311,1
"","org.joda.time.chrono","BasicDayOfYearDateTimeField",11,0.05,1.27,39,0.37,9036.80,13,2,4,11,5,180.19,20,53,11.00,1,4,130.19,0.00,0.75,0.45,1,0.00,3,1103.59,0,10,5,org.joda.time.field.PreciseDurationDateTimeField,0.23,0,3,14,0,0,1,0,5,269,1
"","org.joda.time.chrono","BasicFixedMonthChronology",15,0.09,1.20,51,0.46,9088.08,19,4,2,15,5,151.86,46,71,7.00,2,5,131.25,0.40,0.57,0.17,1,89.00,3,1387.74,5,14,3,org.joda.time.chrono.BasicChronology,0.33,0,4,18,2,0,1,0,39,346,1
"","org.joda.time.chrono","BasicGJChronology",9,0.06,2.22,69,1.06,42220.75,15,6,2,9,5,92.51,49,113,24.00,2,5,110.38,0.40,0.57,0.11,1,33.00,6,3177.62,8,8,3,org.joda.time.chrono.BasicChronology,0.20,0,4,20,2,0,1,0,34,634,1
"","org.joda.time.chrono","BasicMonthOfYearDateTimeField",18,0.07,2.28,146,1.94,162339.22,23,5,7,18,12,73.76,117,198,22.00,4,4,105.98,0.25,0.60,0.27,5,0.00,8,5818.24,2,17,8,org.joda.time.field.ImpreciseDateTimeField,0.46,0,3,41,1,0,1,0,64,1130,0
"","org.joda.time.chrono","BasicSingleEraDateTimeField",16,0.27,1.06,39,0.29,3736.99,18,2,9,16,12,191.11,31,57,8.00,4,3,141.11,0.00,0.67,0.25,0,80.00,2,866.44,0,15,8,org.joda.time.field.BaseDateTimeField,0.31,0,2,17,0,0,1,0,18,235,1
"","org.joda.time.chrono","BasicWeekOfWeekyearDateTimeField",13,0.25,1.23,42,0.40,9081.65,15,2,5,13,6,180.76,23,59,14.00,1,4,130.76,0.00,0.75,0.27,1,6.00,3,1209.07,3,12,6,org.joda.time.field.PreciseDurationDateTimeField,0.29,0,3,16,0,0,1,0,7,301,1
"","org.joda.time.chrono","BasicWeekyearDateTimeField",17,0.10,1.53,77,0.86,44918.40,20,3,5,17,6,103.62,96,107,12.00,1,4,121.50,0.00,0.75,0.24,5,0.00,5,2585.79,1,16,6,org.joda.time.field.ImpreciseDateTimeField,0.46,0,3,26,0,0,1,0,58,560,1
"","org.joda.time.chrono","BasicYearDateTimeField",19,0.14,1.26,60,0.57,11134.06,21,2,4,19,5,181.35,20,91,10.00,1,4,131.35,0.00,0.75,0.37,4,0.00,2,1724.13,0,18,5,org.joda.time.field.ImpreciseDateTimeField,0.52,0,3,24,0,0,1,0,6,433,0
"","org.joda.time.chrono","BuddhistChronology",11,0.10,1.82,68,0.87,29476.48,17,6,14,13,51,66.74,98,97,22.00,34,4,114.84,0.00,0.75,0.08,2,43.00,4,2622.05,3,9,17,org.joda.time.chrono.AssembledChronology,0.05,2,3,20,0,2,2,0,24,552,2
"","org.joda.time.tz","CachedDateTimeZone",13,0.06,1.46,71,0.51,19618.72,17,4,1,14,4,159.69,28,97,8.00,3,2,119.81,0.00,0.50,0.19,2,0.00,3,1538.74,0,12,1,org.joda.time.DateTimeZone,0.24,1,1,19,0,1,1,0,5,368,1
"","org.joda.time.tz","CachedDateTimeZone$Info",4,0.56,2.50,28,0.25,6604.09,10,6,1,4,1,113.93,1,39,4.00,0,1,113.93,0.00,0.00,0.58,0,0.00,3,753.53,0,3,1,java.lang.Object,0.00,0,0,10,0,0,1,0,0,176,3
"","org.joda.time.convert","CalendarConverter",5,1.00,2.20,30,0.35,9333.60,6,1,9,6,13,71.91,55,44,13.00,3,2,116.03,0.00,0.50,0.00,1,5.00,5,1055.32,0,4,10,org.joda.time.convert.AbstractConverter,0.00,1,1,11,0,1,1,1,8,226,1
"","org.joda.time","Chronology",49,0.00,1.00,50,0.36,2477.70,49,0,0,49,246,115.29,383,55,11.00,242,1,157.58,20.00,0.00,0.00,0,49.00,1,1071.15,0,48,5,java.lang.Object,0.00,0,0,49,20,0,1,0,78,368,2
"","org.joda.time","ClassLoadTest",1,0.00,1.00,20,0.25,9306.87,1,0,2,1,3,48.92,7,22,22.00,0,1,91.22,0.00,0.00,0.00,0,1.00,1,746.47,0,0,3,java.lang.Object,0.00,0,0,1,0,0,1,0,2,146,1
"","org.joda.time.convert","Converter",1,0.00,1.00,2,0.01,117.27,1,0,0,1,10,111.25,6,3,0.00,10,1,143.48,0.00,0.00,0.00,0,1.00,1,35.22,0,1,0,,0.00,0,0,1,0,0,0,0,2,12,1
"","org.joda.time.convert","ConverterManager",28,0.02,1.75,160,1.89,61131.07,34,6,1,28,36,68.50,266,266,26.00,18,1,118.50,0.00,0.00,0.19,5,338.00,2,5657.56,0,22,18,java.lang.Object,0.00,0,0,49,0,0,6,0,39,1254,2
"","org.joda.time.convert","ConverterSet",8,0.07,5.12,156,1.76,223488.92,10,2,0,8,4,39.43,87,169,47.00,3,1,87.91,0.00,0.00,0.56,2,0.00,11,5269.13,0,6,1,java.lang.Object,0.00,0,0,41,0,0,2,0,49,983,0
"","org.joda.time.convert","ConverterSet$Entry",1,0.00,1.00,6,0.04,399.75,3,2,0,1,1,121.48,0,8,0.00,0,1,121.48,0.00,0.00,1.00,0,0.00,1,105.07,0,0,1,java.lang.Object,0.00,0,0,1,0,0,1,0,0,29,1
"","org.joda.time.chrono","CopticChronology",14,0.09,1.86,82,0.97,56837.73,21,7,7,16,46,84.15,96,122,15.00,35,6,116.37,0.00,0.83,0.06,1,94.00,8,2904.72,7,12,11,org.joda.time.chrono.BasicFixedMonthChronology,0.16,2,5,26,0,2,2,0,38,608,2
"","org.joda.time.convert","DateConverter",3,1.00,1.00,9,0.07,933.31,4,1,2,4,7,83.57,29,14,6.00,3,2,133.57,0.00,0.50,0.00,0,3.00,1,204.39,0,2,4,org.joda.time.convert.AbstractConverter,0.00,1,1,3,0,1,1,1,6,56,1
"","org.joda.time","DateMidnight",67,1.00,1.30,197,2.10,35346.09,68,1,10,67,32,94.15,801,289,22.00,17,4,138.27,0.00,0.75,0.00,5,67.00,3,6313.53,3,55,17,org.joda.time.base.BaseDateTime,0.00,0,3,87,0,0,12,1,86,1569,3
"","org.joda.time","DateMidnight$Property",20,0.18,1.00,49,0.47,5194.93,23,3,10,20,5,90.76,197,70,14.00,0,2,140.76,0.00,0.50,0.50,1,0.00,1,1412.49,2,17,5,org.joda.time.field.AbstractReadableInstantFieldProperty,0.12,0,1,20,0,0,3,0,28,378,3
"","org.joda.time","DateTime",107,1.00,1.29,311,3.47,55933.39,108,1,11,107,136,100.74,1383,525,22.00,123,4,138.31,0.00,0.75,0.00,8,107.00,3,10409.38,9,89,21,org.joda.time.base.BaseDateTime,0.07,0,3,138,0,0,18,1,134,2582,2
"","org.joda.time","DateTime$Property",20,0.18,1.20,59,0.63,9620.78,23,3,11,20,7,90.13,215,86,15.00,0,2,138.61,0.00,0.50,0.50,3,0.00,3,1882.54,2,17,7,org.joda.time.field.AbstractReadableInstantFieldProperty,0.12,0,1,24,0,0,3,0,30,467,3
"","org.joda.example.time","DateTimeBrowser",12,0.04,2.00,139,1.61,43393.93,23,11,31,13,4,74.59,166,162,20.00,3,2,103.97,0.00,0.50,0.13,5,56.00,6,4820.72,8,3,1,javax.swing.JFrame,0.00,1,1,24,0,1,9,0,87,971,1
"","org.joda.example.time","DateTimeBrowser$CalAction",2,0.00,1.00,8,0.05,509.05,2,0,31,2,0,129.83,9,11,4.00,0,2,129.60,0.00,0.50,0.00,0,2.00,1,151.47,2,0,0,javax.swing.AbstractAction,0.00,0,1,2,0,0,2,0,6,40,1
"","org.joda.example.time","DateTimeBrowser$CalTableView",5,0.00,1.40,52,0.88,42229.61,5,0,31,5,1,54.59,40,84,39.00,0,2,102.70,0.00,0.50,0.00,2,11.00,3,2631.77,2,3,1,org.joda.example.time.TableView,0.00,0,1,7,0,0,2,0,41,479,1
"","org.joda.example.time","DateTimeBrowser$DateAction",2,0.00,1.00,8,0.05,509.05,2,0,31,2,0,129.83,9,11,4.00,0,2,129.60,0.00,0.50,0.00,0,2.00,1,151.47,2,0,0,javax.swing.AbstractAction,0.00,0,1,2,0,0,2,0,6,40,1
"","org.joda.example.time","DateTimeBrowser$DateTableView",5,0.00,1.40,47,0.70,27752.05,5,0,31,5,1,57.74,40,66,39.00,0,2,105.84,0.00,0.50,0.00,2,11.00,3,2089.90,2,3,1,org.joda.example.time.TableView,0.00,0,1,7,0,0,2,0,38,395,1
"","org.joda.example.time","DateTimeBrowser$ExitAction",2,0.00,1.00,7,0.05,386.73,2,0,31,2,1,135.43,9,10,5.00,0,2,135.20,0.00,0.50,0.00,0,2.00,1,144.91,2,0,1,javax.swing.AbstractAction,0.00,0,1,2,0,0,2,0,6,40,1
"","org.joda.example.time","DateTimeBrowser$GetterAction",2,0.00,1.00,8,0.05,509.05,2,0,31,2,0,129.83,9,11,4.00,0,2,129.60,0.00,0.50,0.00,0,2.00,1,151.47,2,0,0,javax.swing.AbstractAction,0.00,0,1,2,0,0,2,0,6,40,1
"","org.joda.example.time","DateTimeBrowser$GetterTableView",5,0.00,1.40,49,0.77,35961.02,5,0,31,5,1,56.85,40,72,39.00,0,2,104.96,0.00,0.50,0.00,2,11.00,3,2300.28,2,3,1,org.joda.example.time.TableView,0.00,0,1,7,0,0,2,0,30,435,1
"","org.joda.example.time","DateTimeBrowser$HexAction",2,0.00,1.00,8,0.05,509.05,2,0,31,2,0,129.83,9,11,4.00,0,2,129.60,0.00,0.50,0.00,0,2.00,1,151.47,2,0,0,javax.swing.AbstractAction,0.00,0,1,2,0,0,2,0,6,40,1
"","org.joda.example.time","DateTimeBrowser$HexTableView",5,0.00,1.60,53,0.77,42334.41,5,0,31,5,1,54.55,40,76,37.00,0,2,102.66,0.00,0.50,0.00,2,11.00,4,2318.72,3,3,1,org.joda.example.time.TableView,0.00,0,1,8,0,0,2,0,31,408,1
"","org.joda.example.time","DateTimeBrowser$LoadedFile",7,0.08,2.14,52,0.59,21197.53,11,4,31,7,1,94.01,36,65,27.00,0,1,111.89,0.00,0.00,0.32,1,14.00,6,1784.14,2,5,1,java.lang.Object,0.00,0,0,15,0,0,2,0,25,345,1
"","org.joda.example.time","DateTimeBrowser$OpenAction",2,0.00,2.00,15,0.16,3366.45,2,0,31,2,1,96.04,10,25,11.00,0,2,113.91,0.00,0.50,0.00,0,2.00,3,483.59,3,0,1,javax.swing.AbstractAction,0.00,0,1,4,0,0,2,0,8,95,1
"","org.joda.example.time","DateTimeBrowser$TableView",7,0.28,1.00,14,0.08,623.23,10,3,31,7,0,194.42,9,18,3.00,0,1,144.42,0.00,0.00,0.10,0,17.00,1,229.15,0,5,0,java.lang.Object,0.00,0,0,7,0,0,2,0,7,75,2
"","org.joda.example.time","DateTimeBrowser$WindowAdapter",1,0.00,1.00,5,0.03,195.34,1,0,31,1,0,126.89,0,8,3.00,0,1,126.89,0.00,0.00,0.00,0,1.00,1,78.14,2,0,0,java.lang.Object,0.00,0,0,1,0,0,1,0,0,20,1
"","org.joda.time","DateTimeComparator",13,0.10,1.77,64,0.81,37119.35,19,6,4,15,6,72.72,137,99,23.00,2,1,121.20,0.00,0.00,0.26,1,25.00,6,2435.27,0,12,4,java.lang.Object,0.00,2,0,23,0,2,1,1,19,534,1
"","org.joda.time","DateTimeConstants",1,40.00,1.00,42,0.44,5983.03,41,40,0,1,113,128.69,78,44,0.00,113,1,80.71,0.00,0.00,0.00,0,1.00,1,1329.83,0,0,0,java.lang.Object,0.00,0,0,1,0,0,1,0,2,226,1
"","org.joda.time","DateTimeField",51,0.00,1.00,53,0.51,3868.76,51,0,1,51,113,112.07,561,55,10.00,112,1,156.20,47.00,0.00,0.00,1,51.00,1,1525.95,0,51,3,java.lang.Object,0.00,0,0,51,47,0,0,0,58,483,2
"","org.joda.time","DateTimeFieldType",30,0.00,1.00,85,1.36,31586.07,78,48,1,43,122,93.68,220,159,100.00,120,1,135.97,1.00,0.00,0.02,2,726.00,1,4092.48,0,29,3,java.lang.Object,0.00,13,0,30,1,13,1,1,35,738,2
"","org.joda.time","DateTimeFieldType$StandardDateTimeFieldType",7,0.08,1.57,123,0.91,17852.43,11,4,1,7,5,118.79,24,138,6.00,0,2,98.17,0.00,0.50,0.32,0,0.00,3,2727.19,0,6,5,org.joda.time.DateTimeFieldType,0.11,0,1,11,0,0,1,0,10,496,2
"","org.joda.time.format","DateTimeFormat",25,0.03,2.60,286,2.97,216275.63,36,11,10,27,41,80.79,356,357,20.00,36,1,100.93,0.00,0.00,0.12,8,148.00,18,8924.75,0,22,6,java.lang.Object,0.00,2,0,65,0,2,3,0,95,1597,1
"","org.joda.time.format","DateTimeFormat$StyleFormatter",8,0.07,1.50,48,0.52,14948.54,12,4,10,9,8,116.12,1,64,15.00,0,1,116.12,0.00,0.00,0.31,2,14.00,3,1554.56,0,5,8,java.lang.Object,0.00,1,0,12,0,1,3,1,3,336,1
"","org.joda.time.format","DateTimeFormat$StyleFormatterCacheKey",3,0.50,3.33,28,0.28,12121.35,5,2,10,3,0,106.73,1,41,25.00,0,1,106.73,0.00,0.00,0.83,0,0.00,8,830.98,0,2,0,java.lang.Object,0.00,0,0,10,0,0,1,0,1,183,1
"","org.joda.time.format","DateTimeFormatter",50,0.13,1.76,249,2.90,88533.88,58,8,14,50,79,78.71,574,360,20.00,63,1,122.83,0.00,0.00,0.25,8,454.00,6,8699.54,1,34,21,java.lang.Object,0.00,0,0,88,0,0,16,0,78,1810,1
"","org.joda.time.format","DateTimeFormatterBuilder",76,0.45,1.66,300,3.12,90382.01,78,2,19,76,29,80.76,674,430,16.00,10,1,128.87,0.00,0.00,0.06,14,406.00,7,9346.04,0,71,20,java.lang.Object,0.00,0,0,126,0,0,5,0,78,2164,1
"","org.joda.time.format","DateTimeFormatterBuilder$CharacterLiteral",6,0.40,1.67,27,0.26,8344.83,7,1,19,6,6,123.67,1,41,14.00,0,1,123.67,0.00,0.00,0.67,0,0.00,5,772.01,0,3,6,java.lang.Object,0.00,0,0,10,0,0,3,1,1,177,1
"","org.joda.time.format","DateTimeFormatterBuilder$Composite",10,0.08,2.70,102,1.09,59253.20,14,4,19,10,6,103.76,7,116,13.00,0,1,103.76,0.00,0.00,0.33,2,14.00,5,3259.64,0,5,6,java.lang.Object,0.00,0,0,27,0,0,5,1,4,644,1
"","org.joda.time.format","DateTimeFormatterBuilder$FixedNumber",2,0.00,4.00,18,0.20,10477.82,2,0,19,2,2,155.80,3,27,43.00,0,2,105.80,0.00,0.50,0.00,0,2.00,7,588.49,1,1,2,org.joda.time.format.PaddedNumber,0.00,0,1,8,0,0,1,0,3,120,1
"","org.joda.time.format","DateTimeFormatterBuilder$Fraction",8,0.10,3.25,148,1.46,98504.49,11,3,19,8,10,91.69,6,144,32.00,0,1,91.69,0.00,0.00,0.42,2,0.00,11,4391.15,1,4,10,java.lang.Object,0.00,0,0,26,0,0,4,1,6,769,1
"","org.joda.time.format","DateTimeFormatterBuilder$MatchingParser",3,0.25,5.33,54,0.54,55654.15,5,2,19,3,2,140.18,5,68,46.00,0,1,90.18,0.00,0.00,0.67,0,0.00,11,1619.20,0,2,2,java.lang.Object,0.00,0,0,16,0,0,1,1,5,304,1
"","org.joda.time.format","DateTimeFormatterBuilder$NumberFormatter",3,0.67,4.67,49,0.67,80996.46,6,3,19,3,4,130.72,6,70,51.00,0,1,90.83,0.00,0.00,0.78,0,0.00,12,1997.00,0,2,4,java.lang.Object,0.00,0,0,14,0,0,1,1,6,352,2
"","org.joda.time.format","DateTimeFormatterBuilder$PaddedNumber",4,0.33,1.75,18,0.22,3763.90,5,1,19,4,6,125.00,1,33,21.00,0,2,125.00,0.00,0.50,0.75,0,0.00,3,646.31,1,1,6,org.joda.time.format.NumberFormatter,0.00,0,1,7,0,0,3,0,1,141,1
"","org.joda.time.format","DateTimeFormatterBuilder$StringLiteral",6,0.00,1.17,17,0.15,1908.07,7,1,19,6,6,140.03,1,28,13.00,0,1,140.03,0.00,0.00,1.00,0,0.00,2,457.56,1,3,6,java.lang.Object,0.00,0,0,7,0,0,3,1,1,117,1
"","org.joda.time.format","DateTimeFormatterBuilder$TextField",8,0.05,2.50,81,1.33,105449.56,11,3,19,9,9,101.04,5,107,27.00,0,1,101.04,0.00,0.00,0.38,2,2.00,8,3980.18,0,5,9,java.lang.Object,0.00,1,0,20,0,1,3,1,7,691,1
"","org.joda.time.format","DateTimeFormatterBuilder$TimeZoneId",5,0.00,2.60,70,0.59,36647.70,10,5,19,6,6,147.59,9,85,30.00,0,1,97.59,0.00,0.00,0.20,0,10.00,9,1756.11,1,3,6,java.lang.Object,0.00,1,0,13,0,1,2,0,7,330,1
"","org.joda.time.format","DateTimeFormatterBuilder$TimeZoneName",7,0.12,1.86,40,0.43,15025.11,11,4,19,7,7,118.55,2,54,14.00,0,1,118.55,0.00,0.00,0.36,1,4.00,5,1287.78,1,4,7,java.lang.Object,0.00,0,0,13,0,0,3,1,3,275,1
"","org.joda.time.format","DateTimeFormatterBuilder$TimeZoneOffset",7,0.20,7.71,172,2.04,293203.58,12,5,19,7,8,103.26,27,229,37.00,0,1,82.65,0.00,0.00,0.37,2,11.00,30,6134.99,1,4,8,java.lang.Object,0.00,0,0,54,0,0,3,1,25,1048,1
"","org.joda.time.format","DateTimeFormatterBuilder$TwoDigitYear",8,0.05,4.00,101,1.31,157505.51,11,3,19,8,8,96.61,7,145,26.00,0,1,96.61,0.00,0.00,0.38,1,6.00,18,3939.61,0,5,8,java.lang.Object,0.00,0,0,32,0,0,3,1,5,694,1
"","org.joda.time.format","DateTimeFormatterBuilder$UnpaddedNumber",4,0.00,1.75,16,0.20,3496.96,4,0,19,4,6,125.25,1,31,21.00,0,2,125.25,0.00,0.50,0.00,0,4.00,3,610.87,0,1,6,org.joda.time.format.NumberFormatter,0.00,0,1,7,0,0,3,0,1,133,1
"","org.joda.time.format","DateTimeParser",2,0.00,1.00,3,0.04,308.55,2,0,0,2,8,109.64,23,4,0.00,8,1,153.77,0.00,0.00,0.00,0,2.00,1,127.81,0,2,1,,0.00,0,0,2,0,0,0,0,6,36,1
"","org.joda.time.format","DateTimeParserBucket",28,0.05,1.93,170,1.82,100377.98,41,13,11,28,31,65.73,235,222,16.00,21,1,113.83,0.00,0.00,0.13,7,264.00,14,5456.89,1,16,13,java.lang.Object,0.00,0,0,54,0,0,12,0,37,1108,1
